income_group,mean_maternityleave,mean_paternityleave,mean_parentalleave
Not classified,182,14,0
Upper middle income,119.31372549019608,4.294117647058823,113.50980392156863
High income,97.49152542372882,17.83050847457627,110.03389830508475
Lower middle income,95.42592592592592,3.3333333333333335,32.75925925925926
Low income,93.44,4.72,0
